,LSAT,UGPA,ZFYA,race,sex,score,label
171,29.0,3.5,0.2,1,0,0.9614941,1.0
172,36.5,3.1,-0.56,1,0,0.8323784,1.0
173,39.0,3.8,-0.32,1,0,0.90728366,1.0
174,36.0,3.0,0.36,1,0,0.98564285,1.0
175,36.0,2.9,-0.8,1,0,0.8845981,1.0
176,36.0,2.9,0.89,1,0,0.98727393,1.0
177,37.0,2.8,0.77,1,0,0.90438104,1.0
178,38.0,3.2,0.48,1,0,0.9660574,1.0
179,31.5,3.1,0.36,1,0,0.97224265,1.0
180,37.0,3.1,0.0,1,0,0.95443374,1.0
181,26.7,3.3,-0.41,1,0,0.92163587,1.0
182,32.0,3.7,-0.85,0,1,0.58981586,1.0
183,31.0,3.0,0.44,1,1,0.91748804,1.0
184,32.7,3.1,0.2,1,1,0.95680285,1.0
185,35.0,3.2,-0.28,1,0,0.9108622,1.0
186,31.0,3.2,2.48,1,1,0.99694866,1.0
187,33.0,3.0,-0.4,1,0,0.87240505,1.0
188,33.0,3.1,0.61,1,1,0.90600884,1.0
189,34.5,2.9,0.52,1,0,0.9807983,1.0
190,39.0,4.1,1.25,1,1,0.9982797,1.0
191,34.0,3.1,-0.6,1,0,0.8862653,1.0
192,34.0,2.8,1.51,1,0,0.9624426,1.0
193,37.0,2.8,-0.23,1,1,0.9089697,1.0
194,25.0,3.2,-0.64,1,1,0.5633928,1.0
195,33.0,2.9,0.69,1,0,0.98138106,1.0
197,34.0,3.0,-0.24,1,1,0.83888805,0.0
198,34.0,2.7,1.51,1,1,0.99041396,1.0
199,30.5,3.0,-1.09,1,1,0.71137047,1.0
200,33.0,3.3,0.89,1,1,0.96462095,1.0
201,34.0,2.9,-1.93,1,0,0.24357061,0.0
202,30.0,3.4,0.73,1,1,0.87711084,1.0
203,38.0,2.4,-0.2,1,1,0.91231555,1.0
204,32.5,3.1,0.93,1,0,0.96980214,1.0
205,40.0,4.0,1.17,1,1,0.9968046,1.0
206,42.0,4.0,0.97,1,1,0.9975751,1.0
207,35.0,3.2,0.27,1,1,0.9631839,1.0
208,29.0,3.4,-0.52,1,1,0.72547126,1.0
209,35.0,2.9,-0.4,1,0,0.84209585,1.0
210,32.0,3.1,-1.17,1,1,0.5849901,1.0
211,27.0,2.3,-1.01,1,0,0.593541,1.0
212,38.0,3.0,0.55,1,1,0.9577965,1.0
213,31.0,2.7,-0.2,1,0,0.8268289,0.0
214,38.0,3.0,0.15,1,1,0.9419448,1.0
215,28.5,3.9,0.48,1,1,0.90587604,1.0
216,34.0,2.6,0.0,1,0,0.8206013,1.0
217,31.0,3.0,0.0,1,1,0.8138979,1.0
218,33.0,2.9,-0.2,1,0,0.8912629,1.0
219,35.0,2.7,-1.05,1,1,0.6304874,1.0
220,32.5,2.8,0.08,1,1,0.8468649,1.0
221,36.0,2.6,-0.72,1,1,0.8114187,0.0
222,37.0,3.4,0.95,1,0,0.97799486,1.0
223,33.0,3.2,-0.4,1,1,0.74162745,1.0
224,37.0,2.9,0.24,1,1,0.9461455,1.0
225,25.5,2.8,-0.08,1,0,0.74991703,1.0
226,38.0,2.6,1.25,1,0,0.9945938,1.0
227,34.0,2.7,-0.12,1,0,0.8981231,1.0
228,35.0,2.9,1.94,1,0,0.9965346,1.0
229,29.5,2.8,0.24,1,0,0.87344813,1.0
230,41.0,3.0,0.2,1,1,0.98001844,1.0
231,35.0,3.2,-1.13,1,0,0.7005523,1.0
232,34.0,2.9,-2.06,1,0,0.35186568,1.0
233,42.0,2.6,1.57,1,0,0.9926755,1.0
234,30.5,3.1,0.87,1,0,0.9860633,1.0
235,41.0,2.5,0.9,1,0,0.9746719,1.0
236,31.5,3.5,0.2,1,0,0.96546334,1.0
237,35.0,3.7,0.44,1,1,0.972787,1.0
238,31.0,3.3,0.85,1,0,0.9865491,1.0
239,39.0,3.1,1.19,1,0,0.99400264,1.0
240,39.0,2.9,0.98,1,0,0.9889424,1.0
241,40.0,2.6,0.16,1,1,0.8849046,1.0
242,40.0,3.8,1.85,1,0,0.99984336,1.0
243,33.0,3.2,-0.24,1,0,0.878299,1.0
244,32.0,3.3,0.36,1,0,0.9471829,1.0
245,39.0,3.3,0.72,1,0,0.9892295,1.0
246,39.0,2.7,0.44,1,1,0.98149383,1.0
247,33.0,3.3,0.24,1,0,0.9530955,1.0
248,38.0,3.7,0.11,1,0,0.9767421,1.0
249,40.0,3.6,-0.09,1,1,0.97829026,1.0
250,38.0,3.4,-0.51,1,0,0.8286118,0.0
251,33.0,3.0,-0.82,1,0,0.8113348,1.0
252,40.0,3.2,1.73,1,0,0.99939454,1.0
254,29.0,2.8,-1.89,0,0,0.43035594,0.0
255,33.0,3.5,0.05,1,1,0.936189,1.0
256,40.0,3.4,-1.06,1,0,0.9478349,1.0
257,36.0,3.1,0.53,1,0,0.9883187,1.0
258,25.0,2.8,-2.22,0,1,0.109834,0.0
259,39.0,3.6,0.18,1,0,0.9686348,1.0
260,41.0,3.7,0.9,1,1,0.9989843,1.0
261,36.0,3.9,-0.12,1,1,0.9567405,1.0
262,44.0,3.2,0.75,1,0,0.9969292,1.0
263,42.0,3.5,-1.17,1,1,0.8903621,1.0
264,46.0,3.3,-2.08,1,0,0.2962305,0.0
265,40.0,2.2,1.04,1,0,0.9964269,1.0
266,41.0,3.8,1.16,1,1,0.99824655,1.0
269,37.0,3.4,-1.02,1,0,0.9069985,1.0
270,40.0,3.5,-0.12,1,1,0.96199524,1.0
271,36.0,3.7,0.77,1,1,0.9827765,1.0
272,42.0,3.5,0.83,1,1,0.9979755,1.0
273,35.5,2.9,0.06,1,0,0.90431476,1.0
274,37.0,3.9,0.37,1,1,0.98658377,1.0
275,48.0,2.3,0.8,1,1,0.94111747,1.0
276,37.0,3.1,0.14,1,1,0.9596114,1.0
277,35.0,3.9,0.14,1,1,0.9365635,1.0
279,47.0,3.9,-0.2,1,1,0.9943123,1.0
280,41.0,2.8,0.33,1,1,0.9487929,1.0
281,40.0,3.5,0.65,1,1,0.99604416,1.0
282,44.0,3.4,-0.33,1,0,0.979471,1.0
283,38.0,3.0,-0.02,1,0,0.9217344,1.0
284,39.0,3.6,0.51,1,0,0.9863993,1.0
285,28.0,3.4,-2.37,0,1,0.29471147,0.0
286,46.0,2.5,-0.27,1,0,0.9108049,1.0
287,42.0,3.0,-0.4,1,0,0.94485164,1.0
289,34.0,3.7,-0.96,1,0,0.7541706,1.0
290,38.0,3.3,0.39,1,0,0.98671585,1.0
291,33.0,3.9,0.46,1,1,0.9138817,1.0
292,38.0,3.3,-0.13,1,0,0.9701062,1.0
293,34.0,3.9,-0.23,1,0,0.94313866,1.0
294,37.0,3.7,0.68,1,0,0.9711341,1.0
296,45.0,3.2,0.43,1,0,0.9959448,1.0
297,41.0,3.2,-0.28,1,0,0.95630544,1.0
298,36.0,3.7,0.89,1,0,0.9983663,1.0
299,45.0,3.5,-0.21,1,0,0.9809291,1.0
301,44.0,4.1,1.7,1,1,0.9997631,1.0
302,41.0,3.5,-0.1,1,0,0.9834954,1.0
303,39.5,3.5,-0.52,1,0,0.9503408,1.0
304,41.0,3.4,0.24,1,1,0.9885117,1.0
305,44.0,3.6,1.62,1,1,0.9997887,1.0
306,40.5,3.3,1.95,1,0,0.99954563,1.0
307,42.0,3.6,1.65,1,1,0.99968433,1.0
308,40.0,2.0,1.2,1,0,0.99420667,1.0
309,45.0,3.4,1.87,1,1,0.99850166,1.0
310,40.0,3.8,0.3,1,1,0.9874802,1.0
311,36.0,3.7,0.05,1,1,0.94729394,1.0
312,34.0,3.2,-0.55,1,1,0.7878956,1.0
313,37.0,3.5,-1.17,1,1,0.74927866,1.0
314,23.0,2.8,-2.23,0,1,0.12830369,0.0
315,38.0,3.4,-0.3,1,0,0.95287746,1.0
316,40.0,3.5,-0.06,1,0,0.9586559,1.0
317,39.0,3.4,0.57,1,1,0.9721671,1.0
318,40.0,3.2,0.82,1,0,0.97328657,1.0
319,33.0,2.9,0.19,1,0,0.92500156,1.0
320,38.0,3.8,1.16,1,0,0.99862266,1.0
321,43.0,3.8,1.14,1,0,0.99703646,1.0
322,38.0,3.5,0.48,1,1,0.983269,1.0
323,35.0,3.3,-0.26,1,1,0.907735,1.0
324,39.0,3.3,1.16,1,1,0.9759939,1.0
325,40.0,3.8,2.25,1,1,0.99984944,1.0
326,33.0,3.3,0.6,1,1,0.9408531,1.0
327,37.0,3.2,1.91,1,0,0.9996118,1.0
329,30.0,2.6,-0.26,1,0,0.7838019,1.0
330,38.0,3.2,0.56,1,1,0.9761662,1.0
332,40.0,3.0,1.45,1,1,0.9988721,1.0
333,34.0,3.7,0.43,1,0,0.96826106,1.0
334,42.0,3.9,0.5,1,1,0.99682534,1.0
335,35.5,2.8,1.78,1,0,0.98344916,1.0
336,32.5,2.7,1.02,1,0,0.97814524,1.0
337,30.0,3.0,-0.33,1,1,0.70010084,0.0
339,35.0,3.7,0.0,1,1,0.9733628,1.0
340,35.0,3.5,0.6,1,1,0.97291416,1.0
341,37.0,3.4,0.63,1,1,0.9889598,1.0
342,28.0,2.7,-0.59,0,0,0.8118089,1.0
344,38.0,3.0,0.92,1,1,0.9636076,1.0
345,33.0,2.7,-0.24,1,1,0.77980006,1.0
346,47.0,2.9,0.56,1,1,0.9978619,1.0
347,38.0,2.8,-0.79,1,0,0.8643287,0.0
350,34.0,3.4,-0.43,1,0,0.86714965,1.0
351,29.0,2.5,-2.01,0,1,0.5418957,0.0
352,40.0,3.2,-0.36,1,0,0.945235,1.0
353,30.0,2.7,0.06,1,0,0.8865089,1.0
355,33.0,3.8,1.58,1,0,0.997593,1.0
356,36.0,2.3,1.65,1,0,0.9967229,1.0
357,35.0,2.9,-0.13,1,0,0.9166986,1.0
358,30.0,2.9,-0.43,1,1,0.63010657,0.0
359,27.0,2.7,-0.72,1,0,0.6772009,1.0
360,38.0,3.2,0.63,1,0,0.98436284,1.0
361,28.5,2.1,-1.88,1,0,0.1955417,0.0
362,37.0,3.3,-0.13,1,1,0.9437955,1.0
363,39.0,2.4,-0.1,1,0,0.8742295,1.0
364,41.0,2.4,1.61,1,0,0.99652904,1.0
366,45.0,2.6,-1.05,1,0,0.3827313,0.0
367,33.0,3.4,-0.03,1,0,0.9755334,1.0
369,40.0,3.7,1.75,1,1,0.99990416,1.0
370,36.0,3.1,-0.43,1,1,0.8955407,1.0
371,36.0,3.2,1.29,1,1,0.9614627,1.0
373,36.0,3.8,-0.99,1,0,0.90927035,1.0
374,36.0,3.3,-0.12,1,0,0.94877386,1.0
375,42.0,3.4,0.99,1,1,0.9901917,1.0
376,40.0,3.6,0.73,1,0,0.9962692,1.0
378,37.0,3.8,0.6,1,0,0.96175647,1.0
379,45.0,3.6,1.35,1,0,0.99641776,1.0
381,30.5,2.4,-0.89,1,0,0.5794961,0.0
382,38.0,3.0,-0.69,1,1,0.8879514,1.0
383,25.0,2.5,-0.89,0,1,0.40241084,1.0
384,35.0,3.0,0.68,1,1,0.9789058,1.0
385,20.0,3.0,-1.02,0,1,0.29679087,0.0
387,38.0,3.2,0.07,1,0,0.9712228,1.0
389,44.0,3.0,1.45,1,0,0.99875283,1.0
390,29.0,2.9,1.16,1,0,0.9964206,1.0
391,45.0,2.6,-0.03,1,0,0.8092892,0.0
392,36.0,2.8,-1.19,1,0,0.65809095,1.0
393,21.0,3.0,-1.32,0,1,0.5414028,1.0
395,35.0,3.3,0.9,1,0,0.97383153,1.0
396,36.0,3.1,-0.59,1,0,0.9136725,1.0
397,37.0,3.4,0.43,1,0,0.9837806,1.0
399,33.0,3.4,1.62,1,0,0.9993381,1.0
400,36.0,3.2,0.27,1,0,0.98500824,1.0
401,42.0,3.4,0.92,1,1,0.9826948,1.0
404,37.0,3.3,0.03,1,0,0.9591282,1.0
406,33.0,3.3,0.2,1,1,0.9702332,1.0
409,35.0,3.1,-0.14,1,1,0.90869355,1.0
410,28.0,3.7,0.0,1,0,0.92188704,1.0
412,22.5,3.3,-1.45,1,1,0.19316137,0.0
413,41.0,3.6,0.05,1,0,0.9662071,1.0
415,40.0,3.0,-0.1,1,0,0.96637917,1.0
416,40.5,3.5,0.58,1,0,0.9925122,1.0
417,40.0,3.7,-0.43,1,1,0.9880733,1.0
418,28.0,3.3,1.37,0,1,0.59727436,0.0
419,41.0,2.4,-0.59,1,1,0.87717164,1.0
420,47.0,2.8,-0.14,1,0,0.997294,1.0
421,38.0,2.5,-1.69,1,0,0.2376458,0.0
422,26.3,3.4,-1.73,1,1,0.19402741,0.0
423,43.0,3.3,0.87,1,1,0.99712795,1.0
424,34.0,3.4,-1.36,1,1,0.7691114,1.0
425,40.0,3.6,-0.08,1,0,0.9640774,1.0
426,37.0,3.4,-0.51,1,1,0.7889236,1.0
427,35.0,2.8,-0.96,1,0,0.7194181,1.0
429,38.0,2.4,1.38,1,0,0.99782395,1.0
430,44.0,3.6,1.88,1,0,0.99956745,1.0
432,43.0,4.0,0.87,1,0,0.99623954,1.0
433,42.0,3.4,0.67,1,1,0.9965017,1.0
434,46.0,3.0,0.27,1,0,0.9793291,1.0
435,43.0,3.5,0.58,1,1,0.9979115,1.0
436,43.0,3.0,0.54,1,0,0.99833626,1.0
437,41.0,3.7,0.75,1,0,0.9981558,1.0
438,42.0,3.9,-1.21,1,1,0.97413427,1.0
439,28.0,2.8,-0.76,1,0,0.6099386,1.0
441,46.0,3.3,-0.76,1,0,0.9323514,1.0
442,45.0,3.5,0.87,1,0,0.9970198,1.0
443,42.0,3.7,1.92,1,0,0.9998666,1.0
444,42.0,3.6,0.81,1,0,0.9956287,1.0
445,45.0,3.2,-0.16,1,1,0.9428898,1.0
446,42.0,3.5,0.71,1,1,0.99539065,1.0
448,44.0,3.4,-0.33,1,0,0.979471,1.0
449,41.0,3.5,-1.25,1,1,0.80294263,0.0
450,41.0,3.6,2.05,1,0,0.99622154,1.0
452,34.0,2.7,-1.56,0,0,0.53438574,0.0
453,32.0,2.7,0.71,0,1,0.8621887,1.0
454,47.0,3.0,0.71,1,1,0.99942315,1.0
455,44.0,3.4,0.81,1,0,0.9966627,1.0
457,39.5,3.0,-1.32,1,1,0.6582139,0.0
458,41.0,3.5,1.84,1,1,0.99964297,1.0
459,29.5,2.9,-0.33,1,0,0.95151496,1.0
460,45.0,3.6,0.34,1,0,0.9865231,1.0
463,43.0,3.7,-0.26,1,0,0.9073401,0.0
464,44.0,3.2,1.08,1,0,0.99767536,1.0
465,46.0,3.0,-1.27,1,0,0.63781434,0.0
466,39.0,3.6,-1.73,1,1,0.4937395,0.0
467,43.0,3.3,1.82,1,1,0.99968827,1.0
468,42.0,3.6,1.39,1,1,0.99909306,1.0
469,48.0,3.7,1.26,1,1,0.99952614,1.0
470,33.0,2.5,-0.32,1,0,0.81967235,1.0
471,40.0,3.8,-0.18,1,1,0.96266466,1.0
472,38.5,3.4,-0.74,1,1,0.91897583,1.0
473,40.0,3.6,0.09,1,1,0.98221946,1.0
475,41.0,3.6,-0.06,1,1,0.9919979,1.0
478,43.0,3.4,0.56,1,0,0.9978728,1.0
479,42.0,3.6,1.45,1,1,0.9987004,1.0
480,38.0,3.9,0.6,1,0,0.97203124,1.0
481,35.5,2.5,-0.24,1,1,0.76561666,1.0
482,37.0,3.7,1.04,1,1,0.9994894,1.0
483,42.0,3.5,0.69,1,1,0.9959751,1.0
485,42.0,3.6,-0.92,1,0,0.9457013,1.0
486,45.0,3.3,0.6,1,0,0.9951173,1.0
489,42.0,3.1,-0.41,1,0,0.95950264,1.0
490,43.0,3.2,-1.07,1,0,0.93130904,1.0
491,31.0,2.6,-0.43,1,0,0.842774,0.0
493,39.0,3.7,-1.5,1,0,0.6069647,0.0
494,47.0,3.1,1.32,1,0,0.99973017,1.0
495,41.0,3.8,-0.51,1,1,0.92807084,1.0
496,33.0,3.6,-0.99,1,0,0.8151342,1.0
497,42.0,3.4,-0.08,1,1,0.98917764,1.0
498,46.0,3.3,1.04,1,1,0.9991247,1.0
499,32.3,3.3,-0.71,1,0,0.76277226,1.0
500,37.0,3.5,-1.69,1,1,0.44879246,0.0
502,39.0,3.9,-0.35,1,1,0.9568583,1.0
503,42.0,3.4,-0.16,1,0,0.9305362,1.0
504,28.5,2.4,-1.54,0,0,0.18486162,0.0
505,44.0,3.6,0.77,1,0,0.9950223,1.0
506,40.0,3.6,0.67,1,0,0.9965417,1.0
508,39.0,3.7,1.37,1,0,0.99949586,1.0
509,28.5,2.6,-0.95,1,1,0.7477352,1.0
510,44.0,3.2,-1.69,1,0,0.52486503,0.0
511,40.0,3.4,0.69,1,0,0.9938372,1.0
512,46.0,3.0,0.95,1,1,0.9919206,1.0
513,42.0,3.7,1.14,1,1,0.998973,1.0
514,40.0,3.7,-0.22,1,0,0.9385061,1.0
515,41.0,3.6,0.36,1,1,0.9939221,1.0
516,46.0,3.5,2.11,1,1,0.9830331,1.0
517,42.0,2.5,-0.59,0,0,0.9478185,1.0
518,37.0,3.0,1.72,1,0,0.9993825,1.0
519,39.0,2.9,1.67,1,0,0.9995821,1.0
520,31.0,2.5,0.02,1,1,0.7671255,1.0
521,36.0,2.9,-0.78,1,1,0.8938645,1.0
522,32.5,3.3,0.56,1,1,0.95298135,1.0
523,35.0,2.3,0.95,1,0,0.9634288,1.0
524,41.0,2.9,0.74,1,0,0.99224937,1.0
525,30.3,2.9,-0.59,1,0,0.91066974,1.0
526,37.0,3.2,-0.32,1,0,0.9129701,1.0
527,36.0,3.8,0.99,1,0,0.99814165,1.0
528,36.0,3.1,-0.37,1,0,0.9184074,1.0
529,39.0,2.9,0.49,1,0,0.9789917,1.0
530,29.3,3.2,-0.88,1,1,0.8064829,1.0
531,35.0,3.2,-0.86,1,1,0.88042766,1.0
532,33.5,3.3,0.03,1,1,0.9394845,1.0
533,34.0,3.4,-0.94,1,0,0.7922121,1.0
534,38.0,2.8,-0.58,1,1,0.8536542,1.0
535,37.0,2.5,0.14,1,0,0.8786008,1.0
536,34.3,2.8,-0.55,1,1,0.76665044,1.0
537,41.0,2.8,0.66,1,1,0.9657336,1.0
538,26.0,3.5,0.72,1,0,0.9558969,1.0
539,36.0,2.9,-0.48,1,1,0.9177187,1.0
540,34.0,2.8,-0.16,1,0,0.8950051,1.0
541,38.0,2.7,1.15,1,0,0.98266464,1.0
542,38.0,2.6,-0.78,1,0,0.8725324,1.0
543,35.0,2.9,0.22,1,0,0.97544026,1.0
544,35.0,3.5,1.08,1,1,0.99759954,1.0
545,46.0,2.7,0.8,1,1,0.9943619,1.0
546,35.0,3.0,0.53,1,1,0.9601411,1.0
547,33.0,2.1,-0.62,1,0,0.9263584,1.0
548,35.0,3.2,0.92,1,0,0.9245272,1.0
549,28.0,3.3,0.37,1,1,0.7132061,1.0
550,36.0,2.9,0.28,1,0,0.98065627,1.0
